iter	Passed	Remaining
459	801	940
460	803	938
461	804	936
462	805	934
463	807	932
464	808	930
465	809	928
466	811	926
467	812	924
468	814	921
469	815	919
470	817	917
471	818	915
472	819	913
473	821	911
474	823	909
475	824	907
476	826	905
477	827	903
478	829	901
479	830	899
480	832	897
481	833	895
482	834	893
483	836	891
484	837	889
485	838	887
486	840	885
487	841	883
488	843	881
489	844	879
490	845	876
491	847	875
492	849	873
493	850	871
494	852	869
495	853	867
496	854	865
497	856	862
498	857	860
499	858	858
500	860	856
501	861	854
502	862	852
503	864	850
504	866	848
505	867	846
506	868	844
507	870	842
508	871	840
509	873	838
510	874	836
511	875	834
512	877	832
513	878	830
514	880	828
515	881	826
516	882	824
517	884	822
518	885	820
519	887	819
520	888	817
521	890	815
522	891	813
523	893	811
524	894	809
525	896	807
526	897	805
527	898	803
528	900	801
529	901	799
530	903	797
531	904	795
532	906	793
533	907	791
534	908	789
535	910	788
536	911	786
537	913	784
538	914	782
539	915	780
540	917	778
541	918	776
542	919	774
543	921	772
544	922	770
545	924	768
546	925	766
547	926	764
548	927	762
549	929	760
550	930	758
551	932	756
552	933	754
553	935	752
554	936	750
555	938	749
556	939	747
557	941	745
558	942	743
559	944	741
560	945	740
561	947	738
562	948	736
563	950	734
564	951	732
565	952	730
566	954	728
567	956	727
568	958	725
569	959	723
570	961	722
571	962	720
572	964	718
573	965	716
574	967	714
575	968	713
576	970	711
577	971	709
578	973	707
579	974	705
580	976	704
581	977	702
582	978	700
583	980	698
584	982	696
585	983	694
586	985	693
587	986	691
588	987	689
589	989	687
590	990	685
591	992	683
592	993	682
593	995	680
594	997	678
595	998	677
596	1000	675
597	1002	673
598	1003	671
599	1005	670
600	1006	668
601	1008	666
602	1010	665
603	1011	663
604	1013	661
605	1014	659
606	1016	658
607	1017	656
608	1019	654
609	1020	652
610	1022	650
611	1023	648
612	1024	647
613	1026	645
614	1027	643
615	1029	641
616	1030	639
617	1032	638
618	1034	636
619	1035	634
620	1036	632
621	1038	631
622	1039	629
623	1041	627
624	1042	625
625	1044	623
626	1045	621
627	1047	620
628	1048	618
629	1050	616
630	1052	615
631	1053	613
632	1055	611
633	1056	610
634	1058	608
635	1059	606
636	1061	604
637	1063	603
638	1064	601
639	1066	599
640	1068	598
641	1069	596
642	1070	594
643	1072	592
644	1073	590
645	1074	588
646	1076	587
647	1077	585
648	1079	583
649	1080	581
650	1081	579
651	1083	578
652	1084	576
653	1086	574
654	1087	572
655	1088	571
656	1090	569
657	1091	567
658	1093	565
659	1094	563
660	1095	562
661	1097	560
662	1098	558
663	1100	556
664	1101	554
665	1103	553
666	1104	551
667	1105	549
668	1107	547
669	1108	546
670	1109	544
671	1111	542
672	1112	540
673	1114	539
674	1115	537
675	1117	535
676	1118	533
677	1120	532
678	1121	530
679	1123	528
680	1124	526
681	1125	524
682	1127	523
683	1128	521
684	1130	519
685	1131	517
686	1133	516
687	1134	514
688	1136	512
689	1138	511
690	1139	509
691	1141	508
692	1143	506
693	1144	504
694	1146	503
695	1147	501
696	1149	499
697	1150	497
698	1152	496
699	1153	494
700	1155	492
701	1156	491
702	1158	489
703	1160	487
704	1161	486
705	1162	484
706	1164	482
707	1165	480
708	1167	479
709	1168	477
710	1170	475
711	1171	473
712	1173	472
713	1174	470
714	1176	468
715	1177	467
716	1179	465
717	1180	463
718	1182	462
719	1183	460
720	1185	458
721	1186	456
722	1188	455
723	1189	453
724	1191	451
725	1192	450
726	1194	448
727	1195	446
728	1197	445
729	1199	443
730	1200	441
731	1202	440
732	1203	438
733	1205	436
734	1206	435
735	1208	433
736	1209	431
737	1211	430
738	1213	428
739	1214	426
740	1216	425
741	1217	423
742	1219	421
743	1220	420
744	1222	418
745	1224	416
746	1225	415
747	1227	413
748	1229	411
749	1230	410
750	1232	408
751	1233	406
752	1235	405
753	1236	403
754	1238	401
755	1240	400
756	1241	398
757	1242	396
758	1244	395
759	1245	393
760	1247	391
761	1248	390
762	1250	388
763	1251	386
764	1253	384
765	1254	383
766	1256	381
767	1257	379
768	1259	378
769	1260	376
770	1262	374
771	1263	373
772	1265	371
773	1266	369
774	1268	368
775	1270	366
776	1272	365
777	1273	363
778	1275	361
779	1277	360
780	1278	358
781	1280	356
782	1281	355
783	1283	353
784	1285	351
785	1286	350
786	1288	348
787	1290	347
788	1291	345
789	1293	343
790	1294	342
791	1296	340
792	1297	338
793	1299	337
794	1301	335
795	1303	334
796	1304	332
797	1306	330
798	1308	329
799	1310	327
800	1311	325
801	1314	324
802	1316	322
803	1317	321
804	1319	319
805	1320	317
806	1322	316
807	1323	314
808	1324	312
809	1326	311
810	1327	309
811	1329	307
812	1331	306
813	1332	304
814	1334	302
815	1335	301
816	1337	299
817	1338	297
818	1340	296
819	1342	294
820	1343	292
821	1345	291
822	1347	289
823	1348	288
824	1349	286
825	1351	284
826	1352	282
827	1354	281
828	1355	279
829	1357	277
830	1359	276
831	1361	274
832	1362	273
833	1363	271
834	1365	269
835	1366	268
836	1368	266
837	1369	264
838	1371	263
839	1372	261
840	1374	259
841	1375	258
842	1377	256
843	1379	254
844	1380	253
845	1382	251
846	1383	249
847	1385	248
848	1386	246
849	1388	245
850	1390	243
851	1391	241
852	1393	240
853	1395	238
854	1396	236
855	1397	235
856	1399	233
857	1400	231
858	1402	230
859	1403	228
860	1405	226
861	1406	225
862	1408	223
863	1409	221
864	1411	220
865	1412	218
866	1414	216
867	1415	215
868	1417	213
869	1418	211
870	1420	210
871	1421	208
872	1423	207
873	1424	205
874	1426	203
875	1427	202
876	1429	200
877	1430	198
878	1432	197
879	1433	195
880	1435	193
881	1437	192
882	1438	190
883	1440	188
884	1441	187
885	1443	185
886	1445	184
887	1446	182
888	1448	180
889	1449	179
890	1451	177
891	1453	175
892	1454	174
893	1456	172
894	1458	171
895	1459	169
896	1461	167
897	1463	166
898	1464	164
899	1466	162
900	1468	161
901	1469	159
902	1471	158
903	1472	156
904	1474	154
905	1475	153
906	1477	151
907	1478	149
908	1480	148
909	1482	146
910	1483	144
911	1485	143
912	1486	141
913	1488	140
914	1489	138
915	1491	136
916	1493	135
917	1494	133
918	1496	131
919	1498	130
920	1499	128
921	1501	126
922	1502	125
923	1504	123
924	1505	122
925	1507	120
926	1508	118
927	1510	117
928	1512	115
929	1513	113
930	1515	112
931	1516	110
932	1518	109
933	1519	107
934	1521	105
935	1522	104
936	1524	102
937	1525	100
938	1527	99
939	1528	97
940	1529	95
941	1531	94
942	1532	92
943	1533	90
944	1535	89
945	1536	87
946	1537	86
947	1539	84
948	1540	82
949	1542	81
950	1543	79
951	1544	77
952	1546	76
953	1547	74
954	1549	72
955	1550	71
956	1551	69
957	1553	68
958	1554	66
959	1556	64
960	1558	63
961	1559	61
962	1561	59
963	1562	58
964	1564	56
965	1565	55
966	1567	53
967	1568	51
968	1570	50
969	1571	48
970	1573	46
971	1574	45
972	1576	43
973	1577	42
974	1579	40
975	1580	38
976	1581	37
977	1583	35
978	1584	33
979	1586	32
980	1587	30
981	1589	29
982	1590	27
983	1592	25
984	1593	24
985	1594	22
986	1596	21
987	1597	19
988	1599	17
989	1600	16
990	1602	14
991	1603	12
992	1605	11
993	1606	9
994	1607	8
995	1609	6
996	1610	4
997	1611	3
998	1613	1
999	1614	0
